T,L,LL,R,E,D,DLI,Year,Month,Day,Hour,Minute,Second,Day365,Hour24,Sunrise,Sunset
1518078182,20.223294,0,5,0.33,0,0.042660481,2018,01,08,08,23,02,39,08,1518073895,1518110842
1518078183,20.229259,0,5,0.33,0,0.042680709000000004,2018,01,08,08,23,03,39,08,1518073895,1518110842
1518078184,20.240802,0,5,0.33,0,0.04270095,2018,01,08,08,23,04,39,08,1518073895,1518110842
1518078185,20.253033,0,5,0.33,0,0.042721203000000006,2018,01,08,08,23,05,39,08,1518073895,1518110842
1518078186,20.268333,0,5,0.33,0,0.042741475,2018,01,08,08,23,06,39,08,1518073895,1518110842
1518078187,20.282823,0,5,0.33,0,0.042761759,2018,01,08,08,23,07,39,08,1518073895,1518110842
1518078188,20.243744,0,5,0.33,0,0.042782,2018,01,08,08,23,08,39,08,1518073895,1518110842
1518078189,20.260105,0,5,0.33,0,0.042802263,2018,01,08,08,23,09,39,08,1518073895,1518110842
1518078190,20.261961,0,5,0.33,0,0.042822525,2018,01,08,08,23,10,39,08,1518073895,1518110842
1518078191,20.252456,0,5,0.33,0,0.042842775,2018,01,08,08,23,11,39,08,1518073895,1518110842
1518078192,20.283913000000002,0,5,0.33,0,0.042863059,2018,01,08,08,23,12,39,08,1518073895,1518110842
1518078193,20.268280999999998,0,5,0.33,0,0.042883328000000005,2018,01,08,08,23,13,39,08,1518073895,1518110842
1518078194,20.261557999999997,0,5,0.33,0,0.042903591,2018,01,08,08,23,14,39,08,1518073895,1518110842
1518078195,20.26018,0,5,0.33,0,0.042923853000000005,2018,01,08,08,23,15,39,08,1518073895,1518110842
1518078196,20.256697,0,5,0.33,0,0.042944109,2018,01,08,08,23,16,39,08,1518073895,1518110842
1518078197,20.251953,0,5,0.35,0,0.042964363,2018,01,08,08,23,17,39,08,1518073895,1518110842
1518078198,20.246451999999998,0,5,0.33,0,0.042984609,2018,01,08,08,23,18,39,08,1518073895,1518110842
1518078199,20.205994,0,5,0.33,0,0.043004815999999994,2018,01,08,08,23,19,39,08,1518073895,1518110842
1518078200,20.184372,0,5,0.33,0,0.043024996999999995,2018,01,08,08,23,20,39,08,1518073895,1518110842
1518078201,20.192632999999997,0,5,0.33,0,0.043045191,2018,01,08,08,23,21,39,08,1518073895,1518110842
1518078202,20.165739000000002,0,5,0.33,0,0.043065353,2018,01,08,08,23,22,39,08,1518073895,1518110842
1518078203,20.138986,0,5,0.33,0,0.043085494,2018,01,08,08,23,23,39,08,1518073895,1518110842
1518078204,20.15213,0,5,0.33,0,0.043105647,2018,01,08,08,23,24,39,08,1518073895,1518110842
1518078205,20.186559,0,5,0.33,0,0.043125834,2018,01,08,08,23,25,39,08,1518073895,1518110842
1518078206,20.167406,0,5,0.34,0,0.043146003,2018,01,08,08,23,26,39,08,1518073895,1518110842
1518078207,20.142639000000003,0,5,0.33,0,0.043166146999999995,2018,01,08,08,23,27,39,08,1518073895,1518110842
1518078208,20.130436,0,5,0.33,0,0.043186278,2018,01,08,08,23,28,39,08,1518073895,1518110842
1518078209,20.112495000000003,0,5,0.33,0,0.043206391,2018,01,08,08,23,29,39,08,1518073895,1518110842
1518078210,20.112348,0,5,0.33,0,0.043226503,2018,01,08,08,23,30,39,08,1518073895,1518110842
1518078211,20.053869,0,5,0.34,0,0.043246556,2018,01,08,08,23,31,39,08,1518073895,1518110842
1518078212,20.053283999999998,0,5,0.33,0,0.043266609000000004,2018,01,08,08,23,32,39,08,1518073895,1518110842
1518078213,19.983925,0,5,0.33,0,0.043286591,2018,01,08,08,23,33,39,08,1518073895,1518110842
1518078214,19.960889,0,5,0.33,0,0.043306553000000005,2018,01,08,08,23,34,39,08,1518073895,1518110842
1518078215,19.907255,0,5,0.33,0,0.043326459000000005,2018,01,08,08,23,35,39,08,1518073895,1518110842
1518078216,19.864458,0,5,0.33,0,0.043346322,2018,01,08,08,23,36,39,08,1518073895,1518110842
1518078217,19.812238,0,5,0.34,0,0.043366134,2018,01,08,08,23,37,39,08,1518073895,1518110842
1518078218,19.767633,0,5,0.33,0,0.0433859,2018,01,08,08,23,38,39,08,1518073895,1518110842
1518078219,19.772722,0,5,0.34,0,0.043405675,2018,01,08,08,23,39,39,08,1518073895,1518110842
1518078220,19.735964000000003,0,5,0.34,0,0.043425413,2018,01,08,08,23,40,39,08,1518073895,1518110842
1518078221,19.69002,0,5,0.34,0,0.0434451,2018,01,08,08,23,41,39,08,1518073895,1518110842
1518078222,19.696958,0,5,0.34,0,0.043464794,2018,01,08,08,23,42,39,08,1518073895,1518110842
1518078223,19.695813,0,5,0.33,0,0.043484491,2018,01,08,08,23,43,39,08,1518073895,1518110842
1518078224,19.663276999999997,0,5,0.34,0,0.043504153000000004,2018,01,08,08,23,44,39,08,1518073895,1518110842
1518078225,19.593323,0,5,0.34,0,0.043523746999999995,2018,01,08,08,23,45,39,08,1518073895,1518110842
1518078226,19.599127,0,5,0.34,0,0.043543346999999996,2018,01,08,08,23,46,39,08,1518073895,1518110842
1518078227,19.607916,0,5,0.34,0,0.043562953,2018,01,08,08,23,47,39,08,1518073895,1518110842
1518078228,19.615848,0,5,0.34,0,0.043582569,2018,01,08,08,23,48,39,08,1518073895,1518110842
1518078229,19.668381,0,5,0.34,0,0.043602241,2018,01,08,08,23,49,39,08,1518073895,1518110842
1518078230,19.710517000000003,0,5,0.34,0,0.04362195,2018,01,08,08,23,50,39,08,1518073895,1518110842
1518078231,19.738453,0,5,0.34,0,0.043641690999999996,2018,01,08,08,23,51,39,08,1518073895,1518110842
1518078232,19.757867,0,5,0.34,0,0.04366145,2018,01,08,08,23,52,39,08,1518073895,1518110842
1518078233,19.838525,0,5,0.34,0,0.043681288,2018,01,08,08,23,53,39,08,1518073895,1518110842
1518078234,19.857725,0,5,0.33,0,0.043701146999999996,2018,01,08,08,23,54,39,08,1518073895,1518110842
1518078235,19.895784,0,5,0.33,0,0.043721044,2018,01,08,08,23,55,39,08,1518073895,1518110842
1518078236,19.953128,0,5,0.33,0,0.043740994,2018,01,08,08,23,56,39,08,1518073895,1518110842
1518078237,19.982225,0,5,0.33,0,0.043760978000000006,2018,01,08,08,23,57,39,08,1518073895,1518110842
1518078238,19.994373,0,5,0.33,0,0.043780971999999994,2018,01,08,08,23,58,39,08,1518073895,1518110842
1518078239,20.054747,0,5,0.33,0,0.043801025,2018,01,08,08,23,59,39,08,1518073895,1518110842
1518078240,20.157325,0,5,0.33,0,0.043821181,2018,01,08,08,24,00,39,08,1518073895,1518110842
1518078241,20.205603,0,5,0.34,0,0.043841388,2018,01,08,08,24,01,39,08,1518073895,1518110842
1518078242,20.255802,0,5,0.33,0,0.043861644,2018,01,08,08,24,02,39,08,1518073895,1518110842
1518078243,20.362892000000002,0,5,0.33,0,0.043882006,2018,01,08,08,24,03,39,08,1518073895,1518110842
1518078244,20.392641,0,5,0.33,0,0.043902396999999996,2018,01,08,08,24,04,39,08,1518073895,1518110842
1518078245,20.479502,0,5,0.33,0,0.043922875,2018,01,08,08,24,05,39,08,1518073895,1518110842
1518078246,20.539581,0,5,0.33,0,0.043943416,2018,01,08,08,24,06,39,08,1518073895,1518110842
1518078247,20.631364,0,5,0.33,0,0.043964047,2018,01,08,08,24,07,39,08,1518073895,1518110842
1518078248,20.731558,0,5,0.33,0,0.043984778,2018,01,08,08,24,08,39,08,1518073895,1518110842
1518078249,20.786361,0,5,0.34,0,0.044005565999999996,2018,01,08,08,24,09,39,08,1518073895,1518110842
1518078250,20.837825,0,5,0.33,0,0.044026403000000006,2018,01,08,08,24,10,39,08,1518073895,1518110842
1518078251,20.887286,0,5,0.33,0,0.044047294,2018,01,08,08,24,11,39,08,1518073895,1518110842
1518078252,20.906342000000002,0,5,0.33,0,0.0440682,2018,01,08,08,24,12,39,08,1518073895,1518110842
1518078253,20.973513,0,5,0.34,0,0.044089171999999996,2018,01,08,08,24,13,39,08,1518073895,1518110842
1518078254,21.011164,0,5,0.33,0,0.044110181,2018,01,08,08,24,14,39,08,1518073895,1518110842
1518078255,21.076222,0,5,0.34,0,0.044131259000000006,2018,01,08,08,24,15,39,08,1518073895,1518110842
1518078256,21.128527,0,5,0.33,0,0.044152391,2018,01,08,08,24,16,39,08,1518073895,1518110842
1518078257,21.157255,0,5,0.33,0,0.044173547,2018,01,08,08,24,17,39,08,1518073895,1518110842
1518078258,21.171839000000002,0,5,0.35,0,0.044194715999999995,2018,01,08,08,24,18,39,08,1518073895,1518110842
1518078259,21.217747,0,5,0.34,0,0.044215938,2018,01,08,08,24,19,39,08,1518073895,1518110842
1518078260,21.237325,0,5,0.34,0,0.044237175,2018,01,08,08,24,20,39,08,1518073895,1518110842
1518078261,21.294197,0,5,0.34,0,0.044258469,2018,01,08,08,24,21,39,08,1518073895,1518110842
1518078262,21.32832,0,5,0.33,0,0.044279794,2018,01,08,08,24,22,39,08,1518073895,1518110842
1518078263,21.330216,0,5,0.33,0,0.044301125,2018,01,08,08,24,23,39,08,1518073895,1518110842
1518078264,21.397706,0,5,0.33,0,0.044322525,2018,01,08,08,24,24,39,08,1518073895,1518110842
1518078265,21.414314,0,5,0.33,0,0.044343938,2018,01,08,08,24,25,39,08,1518073895,1518110842
1518078266,21.400392,0,5,0.34,0,0.044365338,2018,01,08,08,24,26,39,08,1518073895,1518110842
1518078267,21.43185,0,5,0.34,0,0.044386772,2018,01,08,08,24,27,39,08,1518073895,1518110842
1518078268,21.474611,0,5,0.34,0,0.044408247,2018,01,08,08,24,28,39,08,1518073895,1518110842
1518078269,21.473728,0,5,0.34,0,0.044429719,2018,01,08,08,24,29,39,08,1518073895,1518110842
